Date,StreamOut_Q,HortSroff2Stream_Q,DunnSroff2Stream_Q,Interflow2Stream_Q,Stream2Unsat_Q,StreamExchng2Sat_Q,Canopy_S,SnowPweqv_S,Imperv_S,Dprst_S,Cap_S,Grav_S,Unsat_S,Sat_S,UnsatStream_S,Lake_S,Stream_S,Precip_Q,NetBoundaryFlow2Sat_Q,NetWellFlow_Q,BoundaryStreamFlow_Q,CanopyEvap_Q,SnowEvap_Q,ImpervEvap_Q,DprstEvap_Q,CapET_Q,SwaleEvap_Q,UnsatET_Q,SatET_Q,LakeEvap_Q,DunnInterflow2Lake_Q,HortSroff2Lake_Q,Lake2Unsat_Q,LakeExchng2Sat_Q,SoilDrainage2Unsat_Q,Sat2Grav_Q,RechargeUnsat2Sat_Q,Infil2Soil_Q,KKITER
08/21/1982,  0.1095115E+05,  0.0000000E+00,  0.8148952E+03,  0.7247637E+03,  0.0000000E+00, -0.9286320E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2900907E+06,  0.2968782E+05,  0.1158834E+08,  0.3248420E+09,  0.9366498E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963597E+03,  0.0000000E+00,  0.0000000E+00,  0.1613144E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1532132E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1018904E+02,  0.1317211E+05,  0.2048514E+05,  0.0000000E+00,    1
08/22/1982,  0.1092157E+05,  0.8838934E-02,  0.8160691E+03,  0.8042357E+03,  0.0000000E+00, -0.9282127E+04,  0.2573775E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2854769E+06,  0.3039751E+05,  0.1156798E+08,  0.3248397E+09,  0.9376511E+03,  0.0000000E+00,  0.0000000E+00,  0.5370497E+04, -0.3963568E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3073067E+01,  0.0000000E+00,  0.1822405E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1141833E+02,  0.1315799E+05,  0.2040907E+05,  0.2793640E+04,    1
08/23/1982,  0.1082608E+05,  0.0000000E+00,  0.7411986E+03,  0.7588420E+03,  0.0000000E+00, -0.9277248E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2813775E+06,  0.3052250E+05,  0.1154768E+08,  0.3248374E+09,  0.9386901E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963533E+03,  0.0000000E+00,  0.0000000E+00,  0.2573775E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1560658E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1248692E+02,  0.1314474E+05,  0.2034008E+05,  0.0000000E+00,    1
08/24/1982,  0.1079036E+05,  0.0000000E+00,  0.7589762E+03,  0.7838420E+03,  0.0000000E+00, -0.9271853E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2772273E+06,  0.3076238E+05,  0.1152746E+08,  0.3248351E+09,  0.9397603E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963496E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1548550E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1365201E+02,  0.1313158E+05,  0.2027248E+05,  0.0000000E+00,    1
08/25/1982,  0.1149516E+05,  0.1462321E+01,  0.1276628E+04,  0.1141961E+04,  0.0000000E+00, -0.9254425E+04,  0.1613144E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3036411E+06,  0.3737194E+05,  0.1150731E+08,  0.3248327E+09,  0.9409235E+03,  0.0000000E+00,  0.0000000E+00,  0.5370497E+05, -0.3963454E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3673332E+02,  0.0000000E+00,  0.1519940E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1510512E+02,  0.1312112E+05,  0.2019602E+05,  0.3753533E+05,    1
08/26/1982,  0.1114588E+05,  0.0000000E+00,  0.8948705E+03,  0.1082367E+04,  0.0000000E+00, -0.9246978E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3010656E+06,  0.3718241E+05,  0.1148724E+08,  0.3248302E+09,  0.9421991E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963408E+03,  0.0000000E+00,  0.0000000E+00,  0.1613144E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1388183E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1623588E+02,  0.1311030E+05,  0.2012178E+05,  0.0000000E+00,    1
08/27/1982,  0.1126308E+05,  0.0000000E+00,  0.8131679E+03,  0.1102678E+04,  0.0000000E+00, -0.9240902E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2997965E+06,  0.3704919E+05,  0.1146723E+08,  0.3248278E+09,  0.9435225E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963357E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1256755E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1741075E+02,  0.1309854E+05,  0.2005307E+05,  0.0000000E+00,    1
08/28/1982,  0.1118350E+05,  0.0000000E+00,  0.8375192E+03,  0.1161711E+04,  0.0000000E+00, -0.9237407E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2990252E+06,  0.3702152E+05,  0.1144729E+08,  0.3248252E+09,  0.9448605E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963301E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1186703E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1854717E+02,  0.1308583E+05,  0.1998813E+05,  0.0000000E+00,    1
08/29/1982,  0.1123660E+05,  0.0000000E+00,  0.8530028E+03,  0.1187910E+04,  0.0000000E+00, -0.9230287E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2997510E+06,  0.3710573E+05,  0.1142743E+08,  0.3248227E+09,  0.9462414E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963240E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1020400E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1974176E+02,  0.1307466E+05,  0.1991677E+05,  0.0000000E+00,    1
08/30/1982,  0.1131297E+05,  0.0000000E+00,  0.8912986E+03,  0.1268204E+04,  0.0000000E+00, -0.9222794E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2990403E+06,  0.3735987E+05,  0.1140763E+08,  0.3248201E+09,  0.9476224E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963172E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1133976E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2065790E+02,  0.1306329E+05,  0.1985156E+05,  0.0000000E+00,    1
